TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	18/01/18
TIME	17:43:29
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-560, Rev. 1.00
RESOLUTION	
DELTAX	1
XUNITS	SEC
YUNITS	ABSORBANCE
FIRSTX	0.0000
LASTX	300.0000
NPOINTS	301
FIRSTY	1.73775
MAXY	1.73863
MINY	0.10720
XYDATA
0.0000	1.73775
1.0000	1.73863
2.0000	1.72907
3.0000	1.72704
4.0000	1.72305
5.0000	1.73073
6.0000	1.71987
7.0000	1.72653
8.0000	1.7261
9.0000	1.72508
10.0000	1.72083
11.0000	1.71934
12.0000	1.70821
13.0000	1.72012
14.0000	1.70848
15.0000	1.70896
16.0000	1.70509
17.0000	1.70328
18.0000	1.70591
19.0000	1.70649
20.0000	1.69717
21.0000	1.6946
22.0000	1.68685
23.0000	1.69097
24.0000	1.68557
25.0000	1.67679
26.0000	1.68239
27.0000	1.67534
28.0000	1.67226
29.0000	1.66629
30.0000	1.66881
31.0000	1.65282
32.0000	1.65505
33.0000	1.64312
34.0000	1.65016
35.0000	1.63561
36.0000	1.6305
37.0000	1.64319
38.0000	1.63489
39.0000	1.62753
40.0000	1.62099
41.0000	1.61551
42.0000	1.61472
43.0000	1.60433
44.0000	1.60239
45.0000	1.60027
46.0000	1.60458
47.0000	1.58195
48.0000	1.59472
49.0000	1.58058
50.0000	1.5791
51.0000	1.57897
52.0000	1.573
53.0000	1.5585
54.0000	1.55205
55.0000	1.56258
56.0000	1.54936
57.0000	1.54678
58.0000	1.53519
59.0000	1.5413
60.0000	1.53037
61.0000	1.52617
62.0000	1.51904
63.0000	1.5128
64.0000	1.51144
65.0000	1.50827
66.0000	1.49209
67.0000	1.49213
68.0000	1.48916
69.0000	1.47833
70.0000	1.47594
71.0000	1.46429
72.0000	1.46186
73.0000	1.46458
74.0000	1.45654
75.0000	1.44649
76.0000	1.44787
77.0000	1.43587
78.0000	1.42948
79.0000	1.42077
80.0000	1.41412
81.0000	1.41788
82.0000	1.40581
83.0000	1.40581
84.0000	1.38964
85.0000	1.39001
86.0000	1.38809
87.0000	1.37679
88.0000	1.36875
89.0000	1.36415
90.0000	1.35973
91.0000	1.35946
92.0000	1.34866
93.0000	1.33958
94.0000	1.34113
95.0000	1.32777
96.0000	1.32548
97.0000	1.31737
98.0000	1.30903
99.0000	1.30903
100.0000	1.30088
101.0000	1.29568
102.0000	1.28916
103.0000	1.27523
104.0000	1.27343
105.0000	1.26419
106.0000	1.26687
107.0000	1.25881
108.0000	1.24782
109.0000	1.24215
110.0000	1.23808
111.0000	1.23639
112.0000	1.2198
113.0000	1.21899
114.0000	1.2102
115.0000	1.21035
116.0000	1.20283
117.0000	1.19516
118.0000	1.19544
119.0000	1.18587
120.0000	1.18014
121.0000	1.1723
122.0000	1.16196
123.0000	1.1542
124.0000	1.14953
125.0000	1.14587
126.0000	1.13473
127.0000	1.12923
128.0000	1.12644
129.0000	1.12313
130.0000	1.11423
131.0000	1.10897
132.0000	1.10296
133.0000	1.09628
134.0000	1.09131
135.0000	1.08581
136.0000	1.07356
137.0000	1.07021
138.0000	1.06496
139.0000	1.05828
140.0000	1.04961
141.0000	1.04312
142.0000	1.03875
143.0000	1.02959
144.0000	1.02401
145.0000	1.01446
146.0000	1.00901
147.0000	1.00367
148.0000	0.99762
149.0000	0.99515
150.0000	0.98036
151.0000	0.97644
152.0000	0.97391
153.0000	0.96996
154.0000	0.96335
155.0000	0.95508
156.0000	0.94709
157.0000	0.93923
158.0000	0.93276
159.0000	0.93118
160.0000	0.92258
161.0000	0.91641
162.0000	0.90902
163.0000	0.90455
164.0000	0.89555
165.0000	0.88634
166.0000	0.88038
167.0000	0.87758
168.0000	0.87142
169.0000	0.86527
170.0000	0.85726
171.0000	0.84748
172.0000	0.84783
173.0000	0.84095
174.0000	0.83206
175.0000	0.82185
176.0000	0.8221
177.0000	0.81291
178.0000	0.80849
179.0000	0.79886
180.0000	0.79405
181.0000	0.78469
182.0000	0.77881
183.0000	0.77676
184.0000	0.76784
185.0000	0.76165
186.0000	0.75629
187.0000	0.74767
