TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	18/01/18
TIME	19:06:28
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-560, Rev. 1.00
RESOLUTION	
DELTAX	1
XUNITS	SEC
YUNITS	ABSORBANCE
FIRSTX	0.0000
LASTX	300.0000
NPOINTS	301
FIRSTY	1.67234
MAXY	1.67376
MINY	0.09273
XYDATA
0.0000	1.67234
1.0000	1.67116
2.0000	1.67376
3.0000	1.66264
4.0000	1.67015
5.0000	1.66676
6.0000	1.6613
7.0000	1.65947
8.0000	1.6556
9.0000	1.65385
10.0000	1.65333
11.0000	1.64469
12.0000	1.64657
13.0000	1.65214
14.0000	1.63867
15.0000	1.64524
16.0000	1.63746
17.0000	1.64135
18.0000	1.62927
19.0000	1.62562
20.0000	1.63225
21.0000	1.62549
22.0000	1.61817
23.0000	1.62103
24.0000	1.61131
25.0000	1.60814
26.0000	1.61411
27.0000	1.61481
28.0000	1.60406
29.0000	1.60331
30.0000	1.59874
31.0000	1.59077
32.0000	1.59478
33.0000	1.5856
34.0000	1.58005
35.0000	1.58219
36.0000	1.57273
37.0000	1.57073
38.0000	1.56827
39.0000	1.56355
40.0000	1.55112
41.0000	1.55455
42.0000	1.55425
43.0000	1.54794
44.0000	1.54087
45.0000	1.54667
46.0000	1.53051
47.0000	1.52741
48.0000	1.52562
49.0000	1.51923
50.0000	1.51517
51.0000	1.50519
52.0000	1.50698
53.0000	1.50051
54.0000	1.49755
55.0000	1.49206
56.0000	1.48496
57.0000	1.48412
58.0000	1.48619
59.0000	1.47491
60.0000	1.4706
61.0000	1.4618
62.0000	1.46111
63.0000	1.45756
64.0000	1.45425
65.0000	1.44885
66.0000	1.43886
67.0000	1.43498
68.0000	1.42731
69.0000	1.41991
70.0000	1.42067
71.0000	1.42147
72.0000	1.40781
73.0000	1.40477
74.0000	1.40142
75.0000	1.39356
76.0000	1.38457
77.0000	1.38772
78.0000	1.3775
79.0000	1.37325
80.0000	1.367
81.0000	1.35655
82.0000	1.3548
83.0000	1.3473
84.0000	1.34116
85.0000	1.33273
86.0000	1.33355
87.0000	1.32856
88.0000	1.32126
89.0000	1.31268
90.0000	1.3123
91.0000	1.3019
92.0000	1.30193
93.0000	1.299
94.0000	1.28584
95.0000	1.27922
96.0000	1.27617
97.0000	1.27061
98.0000	1.26094
99.0000	1.25809
100.0000	1.25495
101.0000	1.24396
102.0000	1.23737
103.0000	1.23659
104.0000	1.22908
105.0000	1.22186
106.0000	1.2172
107.0000	1.21034
108.0000	1.20615
109.0000	1.20431
110.0000	1.19654
111.0000	1.18757
112.0000	1.18246
113.0000	1.17557
114.0000	1.17056
115.0000	1.16435
116.0000	1.15803
117.0000	1.15173
118.0000	1.14653
119.0000	1.13636
120.0000	1.13443
121.0000	1.13004
122.0000	1.12169
123.0000	1.11877
124.0000	1.10533
125.0000	1.1034
126.0000	1.09792
127.0000	1.09221
128.0000	1.0846
129.0000	1.08254
130.0000	1.07138
131.0000	1.06805
132.0000	1.05723
133.0000	1.05074
134.0000	1.0494
135.0000	1.03887
136.0000	1.03466
137.0000	1.02674
138.0000	1.02353
139.0000	1.01471
140.0000	1.01293
141.0000	1.00764
142.0000	0.99922
143.0000	0.99281
144.0000	0.98345
145.0000	0.98107
146.0000	0.97199
147.0000	0.96887
148.0000	0.95755
149.0000	0.95443
150.0000	0.94859
151.0000	0.94123
152.0000	0.93312
153.0000	0.92773
154.0000	0.92234
155.0000	0.91696
156.0000	0.9096
157.0000	0.90555
158.0000	0.89617
159.0000	0.89154
160.0000	0.88661
161.0000	0.88204
162.0000	0.87264
163.0000	0.8667
164.0000	0.85906
165.0000	0.85228
166.0000	0.84743
167.0000	0.8401
168.0000	0.83551
169.0000	0.82959
170.0000	0.82522
171.0000	0.81513
172.0000	0.80849
173.0000	0.80275
174.0000	0.79815
175.0000	0.78888
176.0000	0.78334
177.0000	0.78005
178.0000	0.77333
179.0000	0.76472
180.0000	0.75902
181.0000	0.75417
182.0000	0.74523
183.0000	0.7401
184.0000	0.73272
185.0000	0.72773
186.0000	0.72333
187.0000	0.71596
