TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	18/01/18
TIME	16:55:38
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-560, Rev. 1.00
RESOLUTION	
DELTAX	1
XUNITS	SEC
YUNITS	ABSORBANCE
FIRSTX	0.0000
LASTX	300.0000
NPOINTS	301
FIRSTY	1.73964
MAXY	1.73964
MINY	0.09042
XYDATA
260.0000	0.25232
261.0000	0.24789
262.0000	0.24075
263.0000	0.23649
264.0000	0.22929
265.0000	0.22455
266.0000	0.21983
267.0000	0.21375
268.0000	0.20875
269.0000	0.20411
270.0000	0.19867
271.0000	0.19304
272.0000	0.18796
273.0000	0.18207
274.0000	0.17603
275.0000	0.17168
276.0000	0.16652
277.0000	0.1612
278.0000	0.1564
279.0000	0.15085
280.0000	0.14577
281.0000	0.14409
282.0000	0.13865
283.0000	0.13378
284.0000	0.12968
285.0000	0.12587
286.0000	0.12227
287.0000	0.11808
288.0000	0.11501
289.0000	0.11062
290.0000	0.10717
291.0000	0.10627
292.0000	0.103
293.0000	0.10054
294.0000	0.09856
295.0000	0.0958
296.0000	0.09627
297.0000	0.09447
298.0000	0.09301
299.0000	0.09104
300.0000	0.09042
