TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	18/01/18
TIME	17:24:30
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-560, Rev. 1.00
RESOLUTION	
DELTAX	1
XUNITS	SEC
YUNITS	ABSORBANCE
FIRSTX	0.0000
LASTX	300.0000
NPOINTS	301
FIRSTY	1.76472
MAXY	1.76472
MINY	0.08348
XYDATA
0.0000	1.76472
1.0000	1.7612
2.0000	1.75666
3.0000	1.76054
4.0000	1.76212
5.0000	1.7558
6.0000	1.75727
7.0000	1.74857
8.0000	1.74703
9.0000	1.7378
10.0000	1.73819
11.0000	1.73306
12.0000	1.73575
13.0000	1.73463
14.0000	1.72835
15.0000	1.72029
16.0000	1.71713
17.0000	1.71895
18.0000	1.72314
19.0000	1.70727
20.0000	1.69945
21.0000	1.69176
22.0000	1.69505
23.0000	1.68732
24.0000	1.68304
25.0000	1.68287
26.0000	1.67759
27.0000	1.66624
28.0000	1.66934
29.0000	1.66096
30.0000	1.66005
31.0000	1.65798
32.0000	1.65221
33.0000	1.63361
34.0000	1.63547
35.0000	1.6264
36.0000	1.62914
37.0000	1.61931
38.0000	1.61521
39.0000	1.61184
40.0000	1.59849
41.0000	1.59985
42.0000	1.58391
43.0000	1.57998
44.0000	1.58071
45.0000	1.57188
46.0000	1.57517
47.0000	1.56157
48.0000	1.54945
49.0000	1.5462
50.0000	1.54316
51.0000	1.53723
52.0000	1.52731
53.0000	1.5232
54.0000	1.52042
55.0000	1.51164
56.0000	1.50487
57.0000	1.50544
58.0000	1.48742
59.0000	1.48999
60.0000	1.48009
61.0000	1.47664
62.0000	1.47117
63.0000	1.45832
64.0000	1.45431
65.0000	1.44998
66.0000	1.44632
67.0000	1.42952
68.0000	1.42639
69.0000	1.41951
70.0000	1.40603
71.0000	1.4089
72.0000	1.39671
73.0000	1.38925
74.0000	1.3847
75.0000	1.38144
76.0000	1.37051
77.0000	1.36797
78.0000	1.35624
79.0000	1.35663
80.0000	1.34403
81.0000	1.33643
82.0000	1.32971
83.0000	1.32579
84.0000	1.31276
85.0000	1.30708
86.0000	1.30665
87.0000	1.29715
88.0000	1.29119
89.0000	1.28814
90.0000	1.27683
91.0000	1.27275
92.0000	1.26242
93.0000	1.25274
94.0000	1.2494
95.0000	1.23905
96.0000	1.23547
97.0000	1.23046
98.0000	1.21979
99.0000	1.21611
100.0000	1.20307
101.0000	1.20122
102.0000	1.1949
103.0000	1.18609
104.0000	1.17963
105.0000	1.16955
106.0000	1.16261
107.0000	1.15766
108.0000	1.14617
109.0000	1.14266
110.0000	1.13393
111.0000	1.1277
112.0000	1.11936
113.0000	1.11401
114.0000	1.11151
115.0000	1.1015
116.0000	1.08965
117.0000	1.08569
118.0000	1.07588
119.0000	1.0689
120.0000	1.06139
121.0000	1.05749
122.0000	1.05132
123.0000	1.03857
124.0000	1.03376
125.0000	1.02758
126.0000	1.01623
127.0000	1.00952
128.0000	1.00185
129.0000	0.99417
130.0000	0.98782
131.0000	0.98282
132.0000	0.97484
133.0000	0.96347
134.0000	0.95786
135.0000	0.95259
136.0000	0.94432
137.0000	0.93523
138.0000	0.92928
139.0000	0.92351
140.0000	0.9147
141.0000	0.90662
142.0000	0.89798
143.0000	0.89286
144.0000	0.8855
145.0000	0.8803
146.0000	0.86833
147.0000	0.86155
148.0000	0.85402
149.0000	0.849
150.0000	0.84147
151.0000	0.83471
152.0000	0.8251
153.0000	0.81602
154.0000	0.81126
155.0000	0.80436
156.0000	0.79781
157.0000	0.78743
158.0000	0.78419
159.0000	0.77336
160.0000	0.7679
161.0000	0.76026
162.0000	0.75292
163.0000	0.74376
164.0000	0.73805
165.0000	0.73044
166.0000	0.72372
167.0000	0.71659
168.0000	0.70782
169.0000	0.70093
170.0000	0.69417
171.0000	0.68727
172.0000	0.67813
173.0000	0.66997
174.0000	0.6623
175.0000	0.65565
176.0000	0.64799
177.0000	0.63889
178.0000	0.63349
179.0000	0.62468
180.0000	0.61888
181.0000	0.61296
182.0000	0.60835
183.0000	0.59622
184.0000	0.58998
185.0000	0.5829
186.0000	0.57419
187.0000	0.56786
